WDS,AName,Name,RA,DEC,date,TMP,PA,paerr,Sep,seperr,Dmag,QFLAG,TMP3
18055-6312, RST 959 AaAb   ,HIP 88607   , 271.3780, -63.1942, 2019.5365 , I  2,    104.5,   0.1,   0.3677,   0.1,     0.5, q,                           
18058+2127, STT 341 AB      ,HIP 88637   , 271.4572,  21.4460, 2019.3750 , y  2,     85.8,   0.1,   0.1401,   0.1,     0.5,  ,      1.0    0.011 Hei1982b
18061-0819, HDS2551         ,HIP 88670   , 271.5308,  -8.3239, 2019.5361 , I  2,     86.0,   0.7,   0.1681,   0.7,     1.7, q,                           
18068-4325, HJ 5014         ,HIP 88726   , 271.7080, -43.4250, 2019.3803 , I  2,      0.1,   1.0,   1.7993,   1.0,     0.0, ast,      2.0    0.056 Ary2001a
18078+2606, CHR 67 AaAb    ,HIP 88818   , 271.9565,  26.1012, 2019.3750 , I  2,     21.8,   1.6,   0.0440,   1.6,     2.3, :,     10.9   -0.054 Tok2019c
18083+2941, LAF 60 AaAb    ,HIP 88848   , 272.0668,  29.6911, 2019.6130 , I  2,    250.5,   1.7,   0.1042,   1.7,     2.9,  ,                           
18086-2752, BU 244 ABa     ,HIP 88864   , 272.1448, -27.8642, 2019.5338 , I  2,    269.5,   0.4,   2.2143,   0.4,     2.6,  ,                           
18086-2752, BU 244 BaBb    ,HIP 88864   , 272.1442, -27.8642, 2019.5338 , I  2,    144.1,   0.4,   0.0961,   0.4,     1.7,  ,                           
18089+2435, HDS2558         ,HIP 88910   , 272.2370,  24.5764, 2019.6130 , I  2,    160.8,   0.2,   0.1491,   0.2,     1.2, q,                           
18092-2211, RST3157         ,HIP 88932   , 272.3008, -22.1835, 2019.5338 , I  2,    104.0,   0.1,   0.1691,   0.1,     0.1,  ,     -0.7    0.000 Tok2018e
18093-2607, HDS2560 AaAb   ,HIP 88937   , 272.3128, -26.1168, 2019.5338 , I  2,    344.0,   0.2,   1.2664,   0.2,     2.6, ast,                           
18096+0400, STF2281 AB      ,HIP 88964   , 272.3911,   3.9933, 2019.5363 , y  2,    282.8,   0.1,   0.7643,   0.1,     1.4, ast,      1.9    0.004 Sod1999 
18096+0400, STF2281 AB      ,HIP 88964   , 272.3911,   3.9933, 2019.6129 , y  2,    282.8,   0.3,   0.7669,   0.3,     1.5, ast,      2.0    0.005 Sod1999 
18099+0307, YSC 132 AaAb   ,HIP 89000   , 272.4750,   3.1203, 2019.3750 , y  2,    140.4,   0.8,   0.0187,   0.8,     0.0, :,      0.6   -0.002 Mdz2017 
18099+0307, YSC 132 AaAb   ,HIP 89000   , 272.4750,   3.1203, 2019.6129 , y  2,    344.5,   0.8,   0.0157,   0.8,     0.3, :,    -13.9    0.004 Mdz2017 
18126+1224, HDS2570         ,HIP 89235   , 273.1487,  12.3936, 2019.5363 , I  2,    339.1,   0.8,   0.0707,   0.8,     0.8,  ,                           
18126-7340, HDO 284 AB      ,HIP 89234   , 273.1419, -73.6724, 2019.5366 , I  2,    271.9,   1.0,   2.0032,   1.0,     3.1, ast,     -0.7   -0.093 Lin2016b
18150-5018, I 429           , HD 166839   , 273.7518, -50.3081, 2019.3748 , I  2,    292.8,   0.5,   0.0376,   0.5,     0.1,  ,     -8.3    0.008 Tok2016e
18150-5018, I 429           , HD 166839   , 273.7518, -50.3081, 2019.3748 , y  2,    290.9,   0.8,   0.0359,   0.8,     0.0,  ,    -10.2    0.006 Tok2016e
18151-5751, HJ 5029         ,HIP 89430   , 273.7861, -57.8544, 2019.3748 , y  2,     79.3,   0.2,   1.8608,   0.2,     0.4, ast,                           
18152-2023, CHR 255 AaAb   ,HIP 89440   , 273.8040, -20.3880, 2019.3805 , I  3,    156.4,   1.6,   0.0913,   1.6,     0.2, :,                           
18166-2033, MCA 51          ,HIP 89567   , 274.1474, -20.5445, 2019.5338 , y  2,    314.7,   0.3,   0.0536,   0.3,     1.9, q,    184.6    0.017 Tok2019c
18170+1204, HDS2582         ,HIP 89595   , 274.2480,  12.0677, 2019.5363 , I  2,     98.3,   1.9,   0.1027,   1.9,     1.9,  ,                           
18177-1940, BU 246 ABa     ,HIP 89647   , 274.4166, -19.6722, 2019.5338 , y  2,    115.4,   0.2,   0.5219,   0.2,     0.2,  ,                           
18177-1940, WSI 89 BaBb    ,HIP 89647   , 274.4166, -19.6722, 2019.5338 , y  2,    327.5,   0.2,   0.0466,   0.2,     0.9,  ,                           
18181-0120, HDS2587         ,HIP 89680   , 274.5230,  -1.3301, 2019.5361 , I  2,    181.4,   0.1,   0.1031,   0.1,     1.2, q,     -0.1   -0.001 Tok2018e
18187-6446, FIN 263         , CD-64 1173  , 274.6815, -64.7599, 2019.6129 , I  2,    239.6,   0.3,   0.1399,   0.3,     0.9,  ,                           
18191-3509, OL 18           ,HIP 89766   , 274.7732, -35.1568, 2019.5286 , I  2,    295.4,   0.2,   1.0271,   0.2,     0.6, ast,     -1.0   -0.072 Mdz2017 
18191-3509, OL 18           ,HIP 89766   , 274.7732, -35.1568, 2019.6130 , I  2,    295.6,   0.1,   1.0334,   0.1,     0.4, ast,     -0.8   -0.067 Mdz2017 
18201-0759, STF2303         ,HIP 89846   , 275.0215,  -7.9814, 2019.6129 , I  2,    253.2,   0.2,   1.4866,   0.2,     2.3, ast,                           
18204-1011, HER 2           ,HIP 89874   , 275.0947, -10.1871, 2019.5361 , I  2,     18.4,   0.0,   0.9831,   0.0,     0.1, ast,                           
18210-0101, VKI 46          , G 21-10     , 275.2381,  -1.0496, 2019.5361 , I  2,      3.6,   0.5,   1.4118,   0.5,     0.2, ast,                           
18235-3844, I 1364          , HD 168800   , 275.8630, -38.7365, 2019.5286 , I  2,    176.0,   0.1,   0.1006,   0.1,     0.3,  ,                           
18243-0405, YSC 67 AB       ,HIP 90198   , 276.0724,  -4.0883, 2019.3776 , I  2,    357.3,   0.6,   0.3886,   0.6,     2.2, q,                           
18250-0135, AC 11           ,HIP 90253   , 276.2384,  -1.5793, 2019.3776 , I  2,    354.9,   0.1,   0.9129,   0.1,     0.6, ast,      0.1    0.006 Tok2017c
18250-0135, AC 11           ,HIP 90253   , 276.2384,  -1.5793, 2019.5361 , I  2,    354.9,   0.1,   0.9135,   0.1,     0.7, ast,      0.1    0.007 Tok2017c
18250-0135, AC 11           ,HIP 90253   , 276.2384,  -1.5793, 2019.6129 , y  2,    355.1,   0.1,   0.9146,   0.1,     0.8, ast,      0.3    0.008 Tok2017c
18280+0612, CHR 71          ,HIP 90497   , 276.9949,   6.1942, 2019.3750 , y  2,     76.1,   0.3,   0.0418,   0.3,     0.0,  ,     -3.2   -0.004 Doc2019d
18281-2645, HDS2615 AB      ,HIP 90510   , 277.0257, -26.7572, 2019.3803 , I  2,    186.2,   0.5,   0.2653,   0.5,     2.3, q,     -1.6   -0.037 Tok2015c
18282-5230, B 1362          ,HIP 90519   , 277.0488, -52.4999, 2019.3748 , y  2,     84.8,   0.1,   0.0630,   0.1,     0.0,  ,                           
18292-2640, B 391           , HD 170181   , 277.3001, -26.6698, 2019.5286 , I  2,     64.9,   0.2,   0.1786,   0.2,     0.0,  ,                           
18302-7641, HDS2621         ,HIP 90686   , 277.5480, -76.6794, 2019.5366 , I  2,    316.3,   0.4,   0.2883,   0.4,     1.5, q,                           
18305-1052, HDS2623         ,HIP 90717   , 277.6344, -10.8640, 2019.6129 , y  2,     44.9,   0.5,   0.0400,   0.5,     1.2,  ,                           
18321-4046, RST4014 AaAb   ,HIP 90856   , 278.0182, -40.7658, 2019.5284 , I  2,    335.0,   0.0,   0.0740,   0.0,     0.3,  ,                           
18321-4046, RST4014 AaB    ,HIP 90856   , 278.0182, -40.7658, 2019.5284 , I  2,    233.7,   0.0,   0.2653,   0.0,     0.8,  ,                           
18323-1439, CHR 73          ,HIP 90884   , 278.0861, -14.6442, 2019.3803 , I  3,     42.9,   1.3,   0.0613,   1.3,     1.6,  ,      3.2    0.003 Tok2017c
18331-1042, HDS2632         ,HIP 90943   , 278.2665, -10.7032, 2019.5361 , I  2,     24.3,   0.7,   0.4915,   0.7,     3.0, q,                           
18338+1744, HU 322 AB       ,HIP 90996   , 278.4401,  17.7322, 2019.5363 , I  2,     92.3,   0.3,   0.1744,   0.3,     0.3, q,     -0.5   -0.006 FMR2012b
18338+1744, WAK 21 CD       ,HIP 90996   , 278.4401,  17.7322, 2019.5363 , I  2,    263.3,   0.2,   0.4921,   0.2,     0.9, ast,                           
18346-2734, TOK 422 AaAb   ,HIP 91075   , 278.6568, -27.5662, 2019.5286 , I  2,    105.9,   0.4,   0.1051,   0.4,     2.0, q,                           
18359+1659, STT 358 AB      ,HIP 91159   , 278.9718,  16.9757, 2019.6130 , I  2,    146.3,   0.3,   1.6557,   0.3,     0.1, ast,      2.4    0.174 Hei1995 
18368-2617, RST3187 AB      ,HIP 91253   , 279.2010, -26.2893, 2019.5286 , I  2,    131.5,   0.5,   0.0456,   0.5,     0.3,  ,      0.8   -0.001 Tok2016e
18378-1121, HU 70           ,HIP 91340   , 279.4555, -11.3548, 2019.6129 , I  2,    180.7,   0.1,   0.2309,   0.1,     0.6, q,                           
18384-0312, A 88 AB         ,HIP 91394   , 279.5992,  -3.1937, 2019.3776 , I  2,     96.4,   0.2,   0.0613,   0.2,     0.0,  ,      0.5   -0.000 Hrt2013d
18384-0312, A 88 AB         ,HIP 91394   , 279.5992,  -3.1937, 2019.3776 , y  1,     96.3,   0.1,   0.0622,   0.1,     0.0,  ,      0.4    0.001 Hrt2013d
18384-0312, A 88 AB         ,HIP 91394   , 279.5992,  -3.1937, 2019.6129 , y  2,     75.5,   0.3,   0.0620,   0.3,     0.0,  ,      1.2    0.000 Hrt2013d
18386+1632, HO 87 AB        ,HIP 91413   , 279.6531,  16.5410, 2019.5363 , I  2,     95.6,   0.1,   0.4496,   0.1,     0.9, q,     -1.1    0.043 Hrt2000c
18393-3742, TOK 797         ,HIP 91471   , 279.8322, -37.7018, 2019.6130 , I  2,    232.5,   0.2,   0.2292,   0.2,     2.4, q,                           
18414-7213, B 2053          ,HIP 91648   , 280.3378, -72.2226, 2019.5366 , I  2,    318.5,   0.1,   0.2520,   0.1,     0.0,  ,                           
18429-3917, I 1379          ,HIP 91777   , 280.7214, -39.2857, 2019.5284 , I  2,    126.2,   0.2,   0.0941,   0.2,     0.1,  ,                           
18431+0742, LDS 1013 BC     ,BD+07 3814  , 280.7453,   7.7125, 2019.6130 , I  2,    225.3,   0.2,   0.3899,   0.2,     0.9, q,                           
18432-5730, TOK 798         ,HIP 91808   , 280.7915, -57.4992, 2019.3748 , I  2,     24.2,   1.5,   0.0604,   1.5,     0.2,  ,                           
18439-0649, YSC 133         ,HIP 91880   , 280.9634,  -6.8180, 2019.3776 , y  3,    278.7,   0.3,   0.0800,   0.3,     0.5, q,     -1.4    0.001 Tok2018e
18448-3323, OL 20           ,HIP 91978   , 281.2117, -33.3838, 2019.5286 , I  2,    224.3,   0.1,   0.1231,   0.1,     0.6, q,     -0.4    0.001 Tok2019c
18454-6452, BIL 4 BaBb     , CD-64 1208  , 281.4043, -64.8628, 2019.3748 , I  2,     93.3,   0.8,   0.2516,   0.8,     3.0,  ,                           
18455+0530, FIN 332 AaAb   ,HIP 92027   , 281.3682,   5.5001, 2019.3750 , y  2,    297.4,   0.1,   0.0491,   0.1,     0.3,  ,      2.1    0.010 Msn2018c
18455+0530, FIN 332 BaBb   ,HIP 92027   , 281.3682,   5.5001, 2019.3750 , y  2,    327.9,   0.1,   0.1108,   0.1,     0.0,  ,     -1.9   -0.000 Msn2018c
18467-2930, TOK 366 AB      ,HIP 92134   , 281.6795, -29.5032, 2019.5286 , I  2,    262.8,   1.4,   0.2533,   1.4,     3.4, q,                           
18477+0916, HU 252          ,HIP 92225   , 281.9354,   9.2632, 2019.3750 , I  2,     19.8,   0.2,   0.0948,   0.2,     0.8, q,                           
18480-1009, HDS2665         ,HIP 92250   , 282.0060, -10.1458, 2019.5339 , I  2,    168.1,   0.3,   0.2493,   0.3,     2.1, q,      0.1    0.003 SOAR2019
18483-6856, JAO 8           ,             , 282.0879, -68.9256, 2019.5365 , I  2,    265.2,  10.9,   0.7475,  10.9,     2.5,  ,                           
18500+1519, YSC 12 AB       ,HIP 92418   , 282.5083,  15.3112, 2019.3750 , I  2,     35.0,   2.4,   0.4814,   2.4,     3.3,  ,     -1.5   -0.001 Tok2018e
18500+1519, YSC 12 AB       ,HIP 92418   , 282.5083,  15.3112, 2019.5363 , I  2,     34.7,   0.5,   0.4809,   0.5,     3.4, q,     -1.2   -0.002 Tok2018e
18516-6054, RST5126         ,HIP 92547   , 282.8950, -60.8957, 2019.3748 , I  2,    131.2,   0.6,   0.1087,   0.6,     0.8, q,    174.4   -0.000 Tok2015c
18520-5418, TOK 325 AaAb   ,HIP 92592   , 283.0081, -54.3019, 2019.3748 , I  2,    154.8,   0.5,   0.0747,   0.5,     2.0,  ,      9.0   -0.010 Tok2019c
18568-3002, KPP4129 AaAb   ,HIP 93002   , 284.1939, -30.0287, 2019.5286 , I  2,    331.1,   0.2,   0.1261,   0.2,     1.9, q,                           
18568-3002, KPP4129 AaAb   ,HIP 93002   , 284.1939, -30.0287, 2019.6130 , I  2,    331.2,   0.5,   0.1269,   0.5,     1.9, q,                           
19000-7132, HDS2694         ,HIP 93271   , 284.9929, -71.5348, 2019.5366 , I  2,    238.9,   0.3,   0.7580,   0.3,     2.0, ast,                           
19026-2953, HDO 150 AB      ,HIP 93506   , 285.6530, -29.8801, 2019.3803 , I  2,    237.6,   0.1,   0.4520,   0.1,     0.3, q,      1.2    0.005 DRs2012 
19029-5413, I 1390          ,HIP 93524   , 285.7193, -54.2082, 2019.5366 , I  2,    257.3,   0.2,   0.2350,   0.2,     0.4, q,    179.8    0.005 Tok2019c
19035-6845, FIN 357         ,HIP 93574   , 285.8737, -68.7555, 2019.3751 , I  2,    202.6,   0.0,   0.1054,   0.0,     0.6, q,     -2.1    0.006 Doc2018l
19036-7224, HDS2703         ,HIP 93584   , 285.8898, -72.3916, 2019.3751 , I  2,     18.7,   0.3,   0.1296,   0.3,     2.0, q,                           
19040-3804, I 1391          ,HIP 93625   , 285.9935, -38.0672, 2019.5284 , I  2,    116.0,   0.1,   0.2521,   0.1,     0.0,  ,     -2.0    0.013 Tok2015c
19057-2639, OCC 768 AB      ,HIP 93767   , 286.4366, -26.6420, 2019.5286 , y  2,    177.2,   0.8,   0.0642,   0.8,     0.0,  ,                           
19057-2639, OCC 768 AB      ,HIP 93767   , 286.4366, -26.6420, 2019.5286 , I  2,    179.4,   0.1,   0.0663,   0.1,     0.0, :,                           
19060-6345, RST1018         ,HIP 93784   , 286.4909, -63.7447, 2019.5366 , I  2,    303.1,   0.4,   0.3820,   0.4,     1.6, q,                           
19064-1154, RST4028 ABa    ,HIP 93827   , 286.6055, -11.8974, 2019.3751 , I  2,    327.3,   1.8,   1.3596,   1.8,     5.3,  ,                           
19064-1154, RST4028 BaBb   ,HIP 93827   , 286.6042, -11.8972, 2019.3751 , I  2,     96.7,   0.9,   0.2649,   0.9,    -0.2,  ,                           
19064-3704, HJ 5084         ,HIP 93825   , 286.6047, -37.0635, 2019.5284 , I  1,    330.3,   0.0,   1.4680,   0.0,     0.1, ast,     -0.2   -0.024 Hei1986b
19064-3704, HJ 5084         ,HIP 93825   , 286.6047, -37.0635, 2019.6130 , I  2,    330.1,   0.4,   1.4761,   0.4,     0.1, ast,     -0.0   -0.018 Hei1986b
19076-0249, HDS2711 AB      ,HIP 93935   , 286.9075,  -2.8187, 2019.5339 , I  2,    288.7,   1.4,   0.4174,   1.4,     3.6,  ,                           
19082+1215, MCA 54          ,HIP 93992   , 287.0601,  12.2506, 2019.3750 , I  2,    172.9,   1.2,   0.1140,   1.2,     2.5,  ,                           
19111-6417, FIN 270         ,HIP 94249   , 287.7734, -64.2910, 2019.5366 , I  2,     81.4,   0.2,   0.4819,   0.2,     2.1, q,                           
19117-2604, RST2094         , HD 126336   , 287.9361, -26.0690, 2019.5286 , I  2,    135.1,   0.4,   0.1447,   0.4,     1.5, q,      0.1   -0.001 Tok2019c
19121+0254, AST 1           ,HIP 94349   , 288.0612,   2.8863, 2019.5339 , I  2,    333.0,   0.2,   0.1915,   0.2,     1.4, q,    183.4    0.009 AST2016 
19126-2002, B 429           , HD 179268   , 288.1615, -20.0373, 2019.3751 , I  2,    220.9,   0.5,   0.1172,   0.5,     1.2, :,                           
19153+2454, HDS2724         ,HIP 94622   , 288.8285,  24.8971, 2019.3750 , I  2,    186.8,   2.8,   0.0335,   2.8,     0.0,  ,                           
19155-2515, B 430           ,HIP 94643   , 288.8850, -25.2566, 2019.3751 , I  2,    101.3,   0.1,   0.1176,   0.1,     1.0, q,      2.4   -0.002 Tok2015c
19155-2515, B 430           ,HIP 94643   , 288.8850, -25.2566, 2019.3803 , I  4,    101.8,   1.5,   0.1176,   1.5,     0.7, :,      3.0   -0.002 Tok2015c
19164+1433, CHR 85 AaAb    ,HIP 94720   , 289.1116,  14.5446, 2019.3750 , I  2,     60.5,   0.1,   0.0606,   0.1,     1.3,  ,      1.3    0.003 Tok2015c
19167-4553, RST4036         ,HIP 94739   , 289.1787, -45.8892, 2019.3751 , I  2,    217.9,   0.1,   0.2083,   0.1,     0.1,  ,      2.5    0.009 Msn2017a
19194-0136, HDS2734 AaAb   ,HIP 94960   , 289.8604,  -1.6160, 2019.3751 , I  2,    344.8,   0.3,   0.1212,   0.3,     0.3,  ,      2.1    0.001 Tok2019c
19197-2836, B 433 AB        ,HIP 94985   , 289.9143, -28.6052, 2019.5286 , I  2,    268.9,   0.2,   0.1659,   0.2,     0.0,  ,      0.9    0.001 SOAR2019
19197-2836, B 433 AC        ,HIP 94985   , 289.9143, -28.6052, 2019.5286 , I  2,     51.0,   0.6,   2.4412,   0.6,     3.7,  ,                           
19209-3303, TOK 433 AaAb   ,HIP 95106   , 290.2232, -33.0529, 2019.5286 , I  2,    325.6,   1.1,   0.1059,   1.1,     2.3, q,                           
19222-0735, A 102 AB        , HD 181782   , 290.5387,  -7.5868, 2019.5339 , I  2,    266.6,   0.1,   0.2093,   0.1,     0.0,  ,      2.5    0.003 Lin2012a
19233-0635, HDS2745         ,HIP 95299   , 290.8186,  -6.5854, 2019.5339 , I  2,     10.2,   0.9,   1.2695,   0.9,     2.6, ast,                           
19240-5320, HDS2751         ,HIP 95360   , 291.0104, -53.3261, 2019.3751 , I  2,    208.7,   1.2,   0.0417,   1.2,     0.9,  ,      2.0   -0.001 Tok2019c
19242-6300, TOK 799         ,HIP 95385   , 291.0531, -62.9982, 2019.3751 , I  2,    320.2,   0.4,   0.1226,   0.4,     1.2, q,                           
19243+2032, HDS2752 AB      ,HIP 95389   , 291.0756,  20.5309, 2019.3750 , I  2,    129.5,   0.4,   0.2747,   0.4,     1.5,  ,                           
19243+2032, HDS2752 AC      ,HIP 95389   , 291.0756,  20.5309, 2019.3750 , I  2,    286.1,   1.3,   0.9711,   1.3,     4.6,  ,                           
19251-2303, RST3225 AaAb   ,HIP 95457   , 291.2757, -23.0418, 2019.3751 , I  2,    132.9,   0.6,   0.1799,   0.6,     3.7,  ,                           
19251-2303, RST3225 AaB    ,HIP 95457   , 291.2757, -23.0418, 2019.3751 , I  2,    125.5,   0.2,   1.2376,   0.2,     3.9,  ,                           
19253-2431, FIN 327         ,HIP 95477   , 291.3185, -24.5084, 2019.3751 , I  2,     84.3,   0.9,   0.0619,   0.9,     0.4,  ,      0.2    0.006 Msn1999c
19253-2431, FIN 327         ,HIP 95477   , 291.3185, -24.5084, 2019.6132 , y  2,     83.7,   0.1,   0.0738,   0.1,     0.6,  ,      1.2    0.002 Msn1999c
19258-3006, I 1401 ABa     , HD 182433   , 291.4526, -30.1071, 2019.3751 , I  2,    111.4,   0.5,   0.6203,   0.5,     0.5, :,                           
19258-3006, WSI 91 BaBb    , HD 182433   , 291.4526, -30.1071, 2019.3751 , I  2,     70.1,   2.7,   0.0706,   2.7,     0.9, :,                           
19277-5954, HDS2766         ,HIP 95675   , 291.9135, -59.9078, 2019.3751 , I  2,    194.6,   1.3,   0.0484,   1.3,     1.0,  ,                           
19294-4057, B 1385          , HD 183023   , 292.3495, -40.9459, 2019.3751 , I  2,    141.0,   0.2,   0.1719,   0.2,     1.2, q,     -0.2   -0.002 Tok2018e
19301-4904, HDS2772         ,HIP 95891   , 292.5346, -49.0659, 2019.3751 , I  2,    298.9,   8.2,   0.0441,   8.2,     1.6, :,    -29.7   -0.026 Tok2017c
19305-3149, B 972           , HD 183353   , 292.6149, -31.8236, 2019.5286 , I  2,    191.4,   0.5,   0.0733,   0.5,     0.0,  ,      3.3    0.002 Tok2018b
19345+1759, YSC 241         ,HIP 96268   , 293.6190,  17.9813, 2019.3750 , I  2,     84.6,   0.9,   0.0687,   0.9,     0.8,  ,                           
19350+2328, A 162           ,HIP 96317   , 293.7571,  23.4742, 2019.3750 , I  2,    305.7,   0.1,   0.1250,   0.1,     0.2,  ,      2.3    0.009 Mdz2017 
19401-0759, YSC 161         ,HIP 96754   , 295.0222,  -7.9793, 2019.3751 , I  2,    245.3,   0.1,   0.0650,   0.1,     0.8,  ,                           
19407-0037, CHR 88 AaAb    ,HIP 96807   , 295.1805,  -0.6213, 2019.3751 , I  2,    348.3,   0.2,   0.0877,   0.2,     1.6, q,     -0.7    0.001 Tok2019c
19426-5901, I 119           ,HIP 96955   , 295.6390, -59.0099, 2019.5366 , I  2,    148.8,   0.3,   2.4701,   0.3,     0.9, ast,                           
19426-5901, I 119           ,HIP 96955   , 295.6390, -59.0099, 2019.6129 , I  2,    148.8,   0.4,   2.4743,   0.4,     0.9, ast,                           
19428+1711, HU 343          , HD 186273   , 295.7111,  17.1811, 2019.3750 , I  2,     21.2,   0.9,   0.0330,   0.9,     0.0,  ,                           
19428+1711, HU 343          , HD 186273   , 295.7111,  17.1811, 2019.6130 , I  2,     20.7,   0.4,   0.0382,   0.4,     0.0,  ,                           
19434-3722, BRG 29          , RXS J1943-37, 295.8527, -37.3697, 2019.5391 , I  2,    302.3,   0.8,   1.6783,   0.8,     3.0, ast,                           
19437-5645, RST4046         , HD 185748   , 295.9262, -56.7498, 2019.5366 , I  2,     80.9,   0.2,   0.3138,   0.2,     0.6, q,                           
19449-2338, MTG 4           , LP 869-26   , 296.2242, -23.6331, 2019.5286 , I  2,    328.9,   1.6,   0.3869,   1.6,     0.0, :,      0.2    0.014 Msn2018a
19453-6823, HDS2806 ABa    ,HIP 97196   , 296.3147, -68.3895, 2019.3751 , I  2,    125.6,   0.0,   0.3348,   0.0,     2.4,  ,                           
19453-6823, HDS2806 ABa    ,HIP 97196   , 296.3164, -68.3888, 2019.8564 , I  2,    122.8,   0.2,   0.3417,   0.2,     2.5,  ,                           
19453-6823, TOK 425 BaBb   ,HIP 97196   , 296.3147, -68.3895, 2019.3751 , I  2,    125.6,   1.5,   0.0935,   1.5,     1.2,  ,      4.2    0.009 Tok2019c
19453-6823, TOK 425 BaBb   ,HIP 97196   , 296.3164, -68.3888, 2019.8564 , I  2,    115.3,   0.7,   0.0785,   0.7,     1.2,  ,     -0.3    0.005 Tok2019c
19466+0703, TOK 368         ,HIP 97312   , 296.6504,   7.0557, 2019.3750 , I  2,    275.0,   0.6,   0.1320,   0.6,     3.1, q,                           
19476+0105, ENG 67 AaAb    ,HIP 97384   , 296.8889,   1.0894, 2019.3751 , I  2,    105.2,   7.5,   0.6234,   7.5,     5.4,  ,                           
19480-2057, HDS2815         ,HIP 97417   , 296.9999, -20.9576, 2019.5286 , I  2,     18.7,   1.3,   0.1732,   1.3,     3.2, q,                           
19496+1241, A 1659          , HD 187447   , 297.4032,  12.6827, 2019.6130 , I  2,    152.6,   0.8,   0.1358,   0.8,     0.2,  ,                           
19513+0938, HDS2829         ,HIP 97697   , 297.8239,   9.6299, 2019.3750 , I  2,    139.5,   0.2,   0.2678,   0.2,     2.6, q,                           
19534+2020, HDS2833 BaBb   ,HIP 97879   , 298.3511,  20.3274, 2019.6130 , I  2,    273.4,   1.2,   0.1784,   1.2,     1.7, q,                           
19561-3208, BWL 53 BaBb    ,             , 299.0123, -32.1219, 2019.5286 , I  4,    279.5,   1.1,   0.1240,   1.1,     0.8, :,                           
19563-3137, TOK 698         ,HIP 98108   , 299.0694, -31.6135, 2019.3751 , I  2,    240.7,   1.6,   0.1069,   1.6,     1.2, q,      0.7   -0.000 SOAR2019
19578-2132, SKF 442 AC      ,HIP 98237   , 299.4485, -21.5268, 2019.5286 , I  2,    332.7,   0.6,   3.7537,   0.6,     4.7, ast,                           
19581-4808, HDS2842         ,HIP 98274   , 299.5178, -48.1337, 2019.3751 , I  2,     70.4,   0.2,   0.1910,   0.2,     1.7, q,     -6.1    0.001 Tok2016e
19582-0621, HDS2843         ,HIP 98290   , 299.5587,  -6.3506, 2019.5339 , I  2,    172.2,   0.1,   0.3239,   0.1,     1.7, q,                           
19598-0957, HO 276          ,HIP 98416   , 299.9479,  -9.9573, 2019.3751 , I  2,    109.2,   0.2,   0.2385,   0.2,     1.3, q,      0.4    0.001 Tok2017b
20014+1045, STF2613 AB      ,HIP 98578   , 300.3611,  10.7486, 2019.6130 , I  2,    355.2,   0.1,   3.5281,   0.1,     0.6, ast,      3.1   -0.608 Hop1973b
20014+1045, TOK 34 AaAb    ,HIP 98578   , 300.3611,  10.7486, 2019.6130 , I  2,    339.3,   1.1,   0.1831,   1.1,     3.2, q,                           
20048+0109, TOK 699         ,HIP 98878   , 301.1942,   1.1560, 2019.5339 , I  2,    192.9,   0.7,   0.1155,   0.7,     2.5, q,      1.4    0.001 SOAR2019
20048+0109, TOK 699         ,HIP 98878   , 301.1943,   1.1559, 2019.8563 , I  2,    209.0,   1.4,   0.1190,   1.4,     2.6, q,     -2.0   -0.012 SOAR2019
20050+2313, CHR 92          ,HIP 98897   , 301.2441,  23.2104, 2019.3779 , I  2,    115.3,   2.4,   0.0556,   2.4,     0.5,  ,                           
20057-3743, HDS2865         ,HIP 98979   , 301.4217, -37.7148, 2019.5286 , I  2,    205.6,   0.1,   0.1088,   0.1,     0.4, q,     -4.3    0.001 Tok2016e
20072-6933, HDS2866         ,HIP 99104   , 301.8076, -69.5554, 2019.6132 , I  2,    275.7,   0.5,   0.1235,   0.5,     0.8, q,                           
20073-5127, RST1059         ,HIP 99114   , 301.8301, -51.4504, 2019.5392 , I  2,    236.1,   0.4,   0.1237,   0.4,     0.1,  ,     -9.2    0.001 Mdz2017 
20086-7133, I 1042          ,HIP 99227   , 302.1477, -71.5526, 2019.8564 , I  2,     94.8,   0.4,   0.8099,   0.4,     0.8, ast,                           
20104-1923, HDS2873         ,HIP 99391   , 302.6061, -19.3832, 2019.3778 , I  2,    231.0,   0.9,   0.0925,   0.9,     2.4,  ,      0.1    0.009 Tok2016e
20111-5731, HDO 295         ,HIP 99453   , 302.7810, -57.5242, 2019.3752 , I  2,    296.2,   0.2,   0.2811,   0.2,     1.1, q,                           
20139-5800, B 471           , HD 191646   , 303.4735, -57.9955, 2019.5366 , I  2,    254.8,   0.1,   1.0087,   0.1,     1.0, ast,                           
20170-5839, HDS2892         ,HIP 99977   , 304.2404, -58.6553, 2019.3752 , I  3,    338.5,   0.2,   0.0781,   0.2,     0.4,  ,                           
20186+1905, J 835           ,HIP 100111  , 304.6275,  19.0310, 2019.6130 , I  2,     45.4,   1.0,   3.3996,   1.0,     1.6, ast,                           
20194+1422, A 1672 BC       ,HIP 100192  , 304.8384,  14.3716, 2019.6130 , I  2,     64.6,   0.6,   0.0787,   0.6,     0.9,  ,                           
20202-3435, I 1416          ,HIP 100266  , 305.0603, -34.5852, 2019.5286 , y  2,    252.9,   0.3,   0.0443,   0.3,     1.0,  ,      2.7    0.007 Tok2016e
